DOI,Provenance,Ref,Source_Figure,Paper_Title,Process_type,Process_subtype,Feedstock,Family,Tier,T,t,IC,Pressure,Solvent_or_medium,Reactor,Separation_method,Yield_basis,Catalyst,Catalyst_Biomass_ratio,Heating_rate,Stirring_velocity,Water_Biomass_ratio,atmosphere,C,H,O,N,S,Ash,O/C,H/C,HHV_input,Lignin,Cellulose_pct,Hemicellulose_pct,Extractives_pct,Moisture_min,Moisture_max,B_Y,C_Y,A_Y,G_Y,GW_Y,E_B,E_H,C_B,C_H,HHV_biooil,C_biooil,H_biooil,O_biooil,N_biooil,S_biooil,HHV_biochar,C_biochar,H_biochar,O_biochar,N_biochar,S_biochar,Lignin_Rich,extra,label
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,,0.0,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,5.1567,35.0,,,,1.20254244,,0.031724018400000005,,23.32,61.52,5.734,31.864,0.62,0.262,,,,,,,True,"{""label"": ""CS-220C-240min-Blank"", ""notes"": ""Blank (no catalyst)"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 59.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 40.16, ""Unassigned_or_over_pct"": 59.84}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,Al2O3,0.2,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,5.4904,35.0,,,,1.2452227200000001,,0.0326184664,,22.68,59.41,5.822,32.699,0.75,1.319,,,,,,,True,"{""label"": ""CS-220C-240min-Al2O3"", ""notes"": ""Oxide screen"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 59.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 40.49, ""Unassigned_or_over_pct"": 59.51}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,TiO2 (rutile),0.2,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,7.0622,35.0,,,,1.6779787200000003,,0.043404281200000006,,23.76,61.46,5.978,31.357,0.76,0.445,,,,,,,True,"{""label"": ""CS-220C-240min-TiO2_(rutile)"", ""notes"": ""Oxide screen"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 58.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 42.06, ""Unassigned_or_over_pct"": 57.94}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,CeO2,0.2,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,8.0957,34.0,,,,1.86767799,,0.0487765925,,23.07,60.25,5.905,32.332,1.0,0.513,,,,,,,True,"{""label"": ""CS-220C-240min-CeO2"", ""notes"": ""Oxide screen"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 58.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 42.1, ""Unassigned_or_over_pct"": 57.9}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,ZnO,0.2,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,5.1782,35.0,,,,1.26503426,,0.0323533936,,24.43,62.48,6.085,30.308,0.8,0.327,,,,,,,True,"{""label"": ""CS-220C-240min-ZnO"", ""notes"": ""Oxide screen"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 59.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 40.18, ""Unassigned_or_over_pct"": 59.82}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,MgO,0.2,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,4.3493,21.0,,,,1.2051910300000002,,0.029275138300000003,,27.71,67.31,6.441,24.08,1.51,0.659,,,,,,,True,"{""label"": ""CS-220C-240min-MgO"", ""notes"": ""Oxide screen"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 75.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 25.35, ""Unassigned_or_over_pct"": 74.65}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,TiO2 (anatase),,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,2.7129,35.0,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-TiO2_(anatase)"", ""notes"": ""Oxide screen"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 62.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 37.71, ""Unassigned_or_over_pct"": 62.29}}",
10.3390/en17194854,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Zhang 2024 — Energies,"Figure 3 — Oxides @ 220 °C, 4 h; Table 1 (oil elemental/HHV)",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,SiO2,0.2,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,1.2811,72.0,,,,0.30298014999999995,,0.007814709999999999,,23.65,61.0,6.086,31.882,0.69,0.342,,,,,,,True,"{""label"": ""CS-220C-240min-SiO2"", ""notes"": ""Oxide screen"", ""Series"": ""Oxide screen @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 27.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 73.28, ""Unassigned_or_over_pct"": 26.72}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,CeO2 (0.0 g),0.0,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,5.1,35.0,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-CeO2-0.0g"", ""notes"": ""CeO2 dosage sweep; biomass charge not reported → mass ratio unavailable"", ""Series"": ""CeO2 dosage @220C,240min"", ""CeO2_mass_g"": 0.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 59.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 40.1, ""Unassigned_or_over_pct"": 59.9}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,CeO2 (0.3 g),0.06,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,5.4,52.0,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-CeO2-0.3g"", ""notes"": ""CeO2 dosage sweep; biomass charge not reported → mass ratio unavailable"", ""Series"": ""CeO2 dosage @220C,240min"", ""CeO2_mass_g"": 0.3, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 43.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 57.4, ""Unassigned_or_over_pct"": 42.6}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,CeO2 (0.6 g),0.12,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,5.8,48.0,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-CeO2-0.6g"", ""notes"": ""CeO2 dosage sweep; biomass charge not reported → mass ratio unavailable"", ""Series"": ""CeO2 dosage @220C,240min"", ""CeO2_mass_g"": 0.6, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 46.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 53.8, ""Unassigned_or_over_pct"": 46.2}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,CeO2 (1.0 g),0.2,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,8.0,34.0,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-CeO2-1.0g"", ""notes"": ""CeO2 dosage sweep; biomass charge not reported → mass ratio unavailable"", ""Series"": ""CeO2 dosage @220C,240min"", ""CeO2_mass_g"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 58.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 42.0, ""Unassigned_or_over_pct"": 58.0}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,CeO2 (1.3 g),0.26,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,6.8,37.0,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-CeO2-1.3g"", ""notes"": ""CeO2 dosage sweep; biomass charge not reported → mass ratio unavailable"", ""Series"": ""CeO2 dosage @220C,240min"", ""CeO2_mass_g"": 1.3, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 57.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 43.8, ""Unassigned_or_over_pct"": 56.2}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
