DOI,Provenance,Ref,Source_Figure,Paper_Title,Process_type,Process_subtype,Feedstock,Family,Tier,T,t,IC,Pressure,Solvent_or_medium,Reactor,Separation_method,Yield_basis,Catalyst,Catalyst_Biomass_ratio,Heating_rate,Stirring_velocity,Water_Biomass_ratio,atmosphere,C,H,O,N,S,Ash,O/C,H/C,HHV_input,Lignin,Cellulose_pct,Hemicellulose_pct,Extractives_pct,Moisture_min,Moisture_max,B_Y,C_Y,A_Y,G_Y,GW_Y,E_B,E_H,C_B,C_H,HHV_biooil,C_biooil,H_biooil,O_biooil,N_biooil,S_biooil,HHV_biochar,C_biochar,H_biochar,O_biochar,N_biochar,S_biochar,Lignin_Rich,extra,label
10.3390/en17194854,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 4 — CeO2 dosage @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,CeO2 (1.6 g),0.32,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,6.7,39.0,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-CeO2-1.6g"", ""notes"": ""CeO2 dosage sweep; biomass charge not reported → mass ratio unavailable"", ""Series"": ""CeO2 dosage @220C,240min"", ""CeO2_mass_g"": 1.6, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""Unassigned_Y"": 54.0, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 45.7, ""Unassigned_or_over_pct"": 54.3}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,,,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,5.152129817444219,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-Blank"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 5.15, ""Unassigned_or_over_pct"": 94.85}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + H2SO4 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,H2SO4,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,0.4563894523326584,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-H2SO4"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 0.46, ""Unassigned_or_over_pct"": 99.54}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + HCl 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,HCl,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,1.8864097363083174,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-HCl"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 1.89, ""Unassigned_or_over_pct"": 98.11}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + HNO3 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,HNO3,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,3.2454361054766734,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-HNO3"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 3.25, ""Unassigned_or_over_pct"": 96.75}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + NaOH 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,NaOH,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,4.1075050709939145,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-NaOH"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 4.11, ""Unassigned_or_over_pct"": 95.89}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + Na2CO3 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,Na2CO3,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,2.9817444219066935,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-Na2CO3"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 2.98, ""Unassigned_or_over_pct"": 97.02}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + K2CO3 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,K2CO3,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,2.7383367139959436,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-K2CO3"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 2.74, ""Unassigned_or_over_pct"": 97.26}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,Figure 5(a) — Inorganic acids/bases @ 1 M,Zhang 2024 — Energies,Figure 5(a) — Inorganic acids/bases @ 1 M,Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + KOH 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,KOH,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,2.4949290060851927,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-KOH"", ""notes"": ""Homogeneous catalyst screen at 1 M (product distribution not reported)"", ""Series"": ""Acid/base screen @1M"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 2.49, ""Unassigned_or_over_pct"": 97.51}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,,,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,3.7525354969574036,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-NaOH-0.0M"", ""notes"": ""NaOH concentration sweep (product distribution not reported)"", ""Series"": ""NaOH concentration @220C,240min"", ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 3.75, ""Unassigned_or_over_pct"": 96.25}}",
10.3390/en17194854,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + NaOH 0.2 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,NaOH,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,4.543610547667343,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-NaOH-0.2M"", ""notes"": ""NaOH concentration sweep (product distribution not reported)"", ""Series"": ""NaOH concentration @220C,240min"", ""Conc_M"": 0.2, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 4.54, ""Unassigned_or_over_pct"": 95.46}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + NaOH 0.4 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,NaOH,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,3.823529411764706,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-NaOH-0.4M"", ""notes"": ""NaOH concentration sweep (product distribution not reported)"", ""Series"": ""NaOH concentration @220C,240min"", ""Conc_M"": 0.4, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 3.82, ""Unassigned_or_over_pct"": 96.18}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + NaOH 0.6 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,NaOH,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,3.5091277890466532,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-NaOH-0.6M"", ""notes"": ""NaOH concentration sweep (product distribution not reported)"", ""Series"": ""NaOH concentration @220C,240min"", ""Conc_M"": 0.6, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 3.51, ""Unassigned_or_over_pct"": 96.49}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + NaOH 0.8 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,NaOH,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,2.9817444219066935,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-NaOH-0.8M"", ""notes"": ""NaOH concentration sweep (product distribution not reported)"", ""Series"": ""NaOH concentration @220C,240min"", ""Conc_M"": 0.8, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 2.98, ""Unassigned_or_over_pct"": 97.02}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
10.3390/en17194854,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Zhang 2024 — Energies,"Figure 5(b) — NaOH concentration @ 220 °C, 4 h",Investigation of Cotton Stalk-Derived Hydrothermal Bio-Oil:Effects of Mineral Acid/Base and Oxide Additions,Hydrothermal, catalytic hydrothermal liquefaction,Cotton stalk (CS),Lignocellulosic / Other,Experimental,220.0,240.0,10.0,autogenic; gas vented (not collected/quantified),Water + NaOH 1.0 M,"100 mL 316L batch reactor, PTFE-lined",DCM rinse → vacuum filtration → phase split → rotavap 40 °C,wt% of dry feedstock,NaOH,0.1,,200.0,10.0,,45.96,5.97,43.5,1.02,0.09,8.43,0.71,1.548,16.3,,,,,,,2.9716024340770795,,,,,,,,,,,,,,,,,,,,,True,"{""label"": ""CS-220C-240min-NaOH-1.0M"", ""notes"": ""NaOH concentration sweep (product distribution not reported)"", ""Series"": ""NaOH concentration @220C,240min"", ""Conc_M"": 1.0, ""others_is_remainder"": true, ""gas_unmeasured"": true, ""IC"": ""1:10 (biomass:water)"", ""Methods"": {""Reactor"": ""100 mL 316L batch reactor, PTFE-lined"", ""Stirring_rpm"": 200, ""t_min"": 240.0, ""T_C"": 220.0, ""Solid_to_liquid"": ""1:10 (w/w) biomass:water"", ""Gas"": ""vented, unmeasured"", ""Separation"": ""DCM rinse → vacuum filtration → phase split → rotavap 40 °C"", ""Yield_defs"": {""B_Y"": ""bio-oil / dry cotton stalk ×100"", ""C_Y"": ""solid residue / dry cotton stalk ×100"", ""Others"": ""100 − B_Y − C_Y (remainder; aqueous + gas)""}}, ""QA"": {""mass_closure_sum_pct"": 2.97, ""Unassigned_or_over_pct"": 97.03}, ""provenance"": {""catalyst_ratio_estimation"": ""Derived from Zhang 2024 SM Table S4 + 1 g oxide per 5 g biomass assumption""}}",
